+---------------------+--------------+--------------------+-----------------------+------------------------+
|      Timestamp      | Altitude (m) |   Pressure (hPa)   |    Wind Speed (m/s)   |    Tarp Area (sq m)    |
+---------------------+--------------+--------------------+-----------------------+------------------------+
| 2025-03-10 18:06:30 |    -0.422    | 1011.1497192382812 |  0.05502544716000557  | 0.0003262339069225998  |
| 2025-03-10 18:07:19 |    1.568     |     1010.90625     |  0.28991516306996346  |   1.0301475230126793   |
| 2025-03-10 18:06:57 |    1.298     | 1010.9203491210938 |   0.0684337206184864  |   0.4166427821554999   |
| 2025-03-10 18:06:42 |    1.539     | 1010.9778442382812 |  0.02162855863571167  |    0.62758017129784    |
| 2025-03-10 18:07:00 |    1.448     | 1010.9378662109375 |  0.25407027266919613  |   0.5818893210233556   |
| 2025-03-10 18:07:08 |    1.625     | 1010.9470825195312 |  0.24899988248944283  |   0.8592928695314912   |
| 2025-03-10 18:07:26 |     1.35     | 1010.9080200195312 |  0.07607270032167435  |   0.9763214245961854   |
| 2025-03-10 18:06:53 |    1.376     | 1010.8756103515625 |  0.01858679950237274  |  0.41092567943903563   |
| 2025-03-10 18:06:41 |    1.498     | 1010.8907470703125 |  0.07493648305535316  |   0.6075648647498413   |
| 2025-03-10 18:07:10 |    1.573     | 1010.9280395507812 |  0.018297366797924042 |   0.7990931471040155   |
| 2025-03-10 18:07:18 |    1.574     | 1010.9801635742188 |  0.17119097523391247  |   0.8769500405696208   |
| 2025-03-10 18:07:22 |     1.42     | 1010.9616088867188 |  0.007130958139896393 |   1.010191460051915    |
| 2025-03-10 18:07:25 |     1.35     | 1010.9632568359375 |  0.14791418612003326  |   0.9866322501450279   |
| 2025-03-10 18:06:46 |    1.499     | 1010.9430541992188 |  0.002476207911968231 |   0.5764902922658849   |
| 2025-03-10 18:07:02 |    1.535     |   1010.896484375   |  0.03719756752252579  |          None          |
| 2025-03-10 18:06:51 |    1.363     | 1010.9396362304688 |  0.010467380285263062 |   0.4451730655197565   |
| 2025-03-10 18:06:54 |    1.353     | 1010.8783569335938 |  0.007476218044757843 |   0.4003174788255887   |
| 2025-03-10 18:07:20 |    1.408     | 1010.9364624023438 |  0.026222068816423416 |   1.050143941916072    |
| 2025-03-10 18:06:59 |    1.456     | 1010.937255859375  |  0.008925452828407288 |   0.5612765578152217   |
| 2025-03-10 18:07:07 |    1.604     | 1010.9029541015625 |  0.03654859587550163  |   1.3241039980107763   |
| 2025-03-10 18:06:36 |    0.947     | 1010.9468383789062 |  0.17281904816627502  |   0.5892036788600236   |
| 2025-03-10 18:07:09 |    1.612     | 1010.9340209960938 |  0.11872316896915436  |   1.311798111098402    |
| 2025-03-10 18:06:47 |    1.501     | 1010.9161376953125 |   0.066257543861866   |          None          |
| 2025-03-10 18:07:21 |    1.381     | 1010.9054565429688 |  0.022831864655017853 |   0.9692321509596279   |
| 2025-03-10 18:06:27 |    -0.385    | 1011.1658935546875 |  0.01282646507024765  | 0.00013829343304175642 |
| 2025-03-10 18:06:31 |    -0.511    | 1011.0936279296875 |  0.08357542753219604  | 0.00024298035374770995 |
| 2025-03-10 18:07:01 |    1.469     |   1010.91015625    |  0.37007035687565804  |   0.5913360500807231   |
| 2025-03-10 18:07:04 |    1.575     | 1010.9004516601562 |  0.009639754891395569 |   0.7787822803471927   |
| 2025-03-10 18:06:32 |    -0.512    | 1011.1442260742188 |  0.04596732556819916  | 0.00023876830489998153 |
| 2025-03-10 18:07:16 |    1.546     | 1010.8951416015625 |  0.19442101567983627  |          None          |
| 2025-03-10 18:07:24 |    1.333     |  1010.93310546875  |  0.02933652698993683  |    0.8936303353815     |
| 2025-03-10 18:07:03 |     None     | 1010.9067993164062 |          None         |   0.7122672994094486   |
| 2025-03-10 18:07:28 |     None     | 1010.9510498046875 |          None         |          None          |
| 2025-03-10 18:07:06 |    1.612     | 1010.9210205078125 |  0.10807882249355316  |   0.8408203536171341   |
| 2025-03-10 18:06:35 |    0.226     | 1011.0573120117188 |   0.5898283123970032  | 0.0005561308103126026  |
| 2025-03-10 18:06:55 |    1.328     | 1010.8890991210938 |  0.09061760269105434  |  0.41665500972441505   |
| 2025-03-10 18:07:27 |    1.344     | 1010.931396484375  |  0.11514729261398315  |   0.9696754372890606   |
| 2025-03-10 18:06:50 |    1.402     |  1010.8857421875   |  0.11021848395466805  |   0.4627500027875349   |
| 2025-03-10 18:06:29 |     None     | 1011.1781616210938 |          None         | 0.0001724774827888764  |
| 2025-03-10 18:06:28 |    -0.32     | 1011.1672973632812 |  0.05318494327366352  |          None          |
| 2025-03-10 18:06:44 |    1.498     | 1010.8507690429688 |  0.08969086222350597  |   0.5548902847269235   |
| 2025-03-10 18:06:38 |    1.648     | 1010.9243774414062 |  0.25176389515399933  |   1.4868955927418155   |
| 2025-03-10 18:06:56 |    1.301     | 1010.8828735351562 |  0.031479284167289734 |   0.4074033940061857   |
| 2025-03-10 18:06:39 |    1.651     | 1010.904052734375  |   0.0633196011185646  |   0.7510277790689344   |
| 2025-03-10 18:06:34 |    -0.56     | 1011.0935668945312 |   0.443075031042099   | 0.00017853946409755985 |
| 2025-03-10 18:06:37 |    1.278     | 1010.9515380859375 |    0.37008236348629   |   1.2169012802007213   |
| 2025-03-10 18:06:43 |    1.526     | 1010.8965454101562 |  0.03458529710769653  |   0.605255837909894    |
| 2025-03-10 18:07:14 |     1.55     | 1010.9186401367188 | 8.393824100494385e-05 |   0.7623038324658521   |
| 2025-03-10 18:07:11 |    1.581     | 1010.8948364257812 | 0.0031005125492811203 |   0.787435149338761    |
